Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Gonzaga,39,17_1,37_2,117.8,86.3,16.2,17.1,56.3,40,38.2,29,39,26.9,1
North Carolina,39,14_4,33_7,121,91.5,16.2,18.6,51,46.3,35.5,33.9,34.3,31.6,2
Villanova,36,15_3,32_4,122.2,92.5,17.1,20.1,59.2,49.1,36.9,31.1,35,22.1,3
Florida,36,14_4,27_9,116.6,88.9,16.9,21,50.3,45.7,35.9,30.5,40.2,34,4
Kentucky,38,16_2,32_6,118.3,91.3,15.7,19.2,52.9,48.3,35.3,30.6,40.9,33.5,5
West Virginia,37,12_6,28_9,115.4,89.3,17,27.6,49.8,46.5,36.2,35.3,38.9,42.5,6
Virginia,34,11_7,23_11,111.8,86.9,15.6,20.7,49.7,45.1,38.5,31.7,26,33.8,7
Kansas,36,16_2,31_5,121.5,94.5,17.6,18.6,53.6,45.3,40.4,35.6,36,30,8
Louisville,34,12_6,25_9,117.6,91.5,16,19.6,50.5,44.8,35.5,31.6,34,38.8,9
Duke,37,11_7,28_9,122.1,95.6,16.3,17.3,53.5,48.9,37.9,29.3,39.3,31.2,10
SMU,35,17_1,30_5,120,94.1,16.9,18.3,51,44.1,40.6,32.1,36,24.6,11
Wichita St.,35,17_1,31_5,117.2,92.2,16.2,19.3,50.7,42,40.2,31.2,40.4,35.1,12
Michigan,38,10_8,26_12,123.3,97.6,14.2,19.5,56.3,50,38.5,37.8,30.1,27.2,13
Saint Mary's,34,16_2,29_5,118,93.8,17.5,15.3,56.9,45.4,39.4,30,27.8,26.6,14
Oregon,38,16_2,33_6,117.8,93.8,17.1,19.3,54.5,46.1,38,31.2,34.4,26.3,15
Purdue,35,14_4,27_8,116.6,93.1,18.3,16.6,52.7,46.6,40.3,33.2,33.3,22.9,16
Cincinnati,36,16_2,30_6,115.2,92.1,15.3,20.2,52.1,41.4,34.5,34.4,32.5,29.1,17
Iowa St.,35,12_6,24_11,120,96.2,14.1,19.5,51.8,47.5,40,34.6,27.6,25.6,18
Wisconsin,37,12_6,27_10,114.5,92,17,19.5,51.1,43.1,35.9,37.6,32.9,28,19
Baylor,34,12_6,27_8,116.4,93.9,20.6,17.1,52.2,45,35.3,32.2,33.9,30.1,20
Oklahoma St.,32,9_9,20_13,126.8,102.3,18.2,20.3,50.4,52.4,40.3,36.4,37.4,45.4,21
Notre Dame,36,12_6,26_10,119.3,96.4,14,18.7,50.9,48.2,38.4,33.8,28.6,26.7,22
UCLA,36,15_3,31_5,122.8,99.6,15.1,15.8,59.1,45.3,40.6,36.5,26.8,25.4,23
Arizona,37,16_2,32_5,117.6,95.6,16.6,17.4,51.5,48.4,39,31,40.5,28.6,24
South Carolina,36,12_6,26_11,108.7,89,18.4,24.3,45.9,45.4,33.4,30.6,40.2,44.5,25
Butler,34,12_6,25_9,117.7,96.9,15,19.6,54.5,51.3,36.6,33.3,37.1,37,26
Florida St.,35,12_6,26_9,115.4,95.2,16.4,19.5,54.4,45.4,34.7,34.9,38.4,37.3,27
Creighton,34,10_8,25_10,114.5,95.2,17.1,19.3,56.4,50.2,39.8,33,27.9,29.3,28
Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29
Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31,35.7,30
Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38,31
Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32
Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33,34.3,28.7,33
Rhode Island,35,13_5,25_10,111.1,94.1,16.4,19.4,51.2,45.4,33.3,29.5,39.2,45,34
Xavier,38,9_9,24_14,115.6,97.9,18.4,17.5,52,52.5,34.5,33.4,41.1,33.4,35
Minnesota,34,11_7,24_10,109.3,92.9,16.1,17.6,47.5,44.5,34.3,30.9,39.6,29.2,36
Michigan St.,35,10_8,20_15,111.6,94.9,20.5,15.9,52.9,44.1,37.3,34.6,33.5,34.7,37
TCU,38,6_12,24_15,114,97.1,18.8,18.7,52.2,48.3,35.7,36.3,32.2,30.9,38
Northwestern,36,10_8,24_12,111.2,95.2,16,17.9,48.8,44,34.2,33.3,30.5,36.1,39
Clemson,33,6_12,17_16,115.3,98.9,15.8,20.1,49.8,51,35.7,35.6,34.3,24.1,40
Illinois St.,34,17_1,28_7,107.5,92.2,18.6,19,48.6,41.1,37,32.5,29.9,32.6,41
Maryland,32,12_6,24_9,113.4,97.9,19,18,51,45.6,36.3,34.2,38.5,32.6,42
Indiana,34,7_11,18_16,115.4,99.9,21.4,15.7,54.1,47.7,38,33.7,34.1,36.8,43
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49,40.3,36.3,40.9,27.3,44
Syracuse,34,10_8,19_15,116.2,100.6,18,19.7,51.3,49.6,37.9,34.3,35.1,29.2,45
Texas Tech,32,6_12,18_14,111.3,96.7,16.5,20.3,51.9,48.9,36.7,35.5,35.6,35.6,46
Middle Tennessee,35,17_1,31_5,111.2,96.6,15.6,19.8,53.6,47.1,36.9,32.8,30,38.2,47
Arkansas,36,12_6,26_10,114.9,99.8,16.6,18.5,50,46.7,36.5,33.2,38.1,39.1,48
Dayton,31,15_3,24_8,111.6,97,16.9,20.9,51,47.2,38.4,32.3,43.4,35.2,49
Houston,32,12_6,22_11,112.8,98.1,14.9,20.7,47.7,45.7,39.4,32.9,28.6,36.8,50
Providence,33,10_8,20_13,108.3,94.5,18.4,20.3,49.1,49.9,37.1,32.8,38.1,30.5,51
Seton Hall,33,10_8,21_12,108.9,95.6,19.5,17.5,49.6,48,33.8,34.1,37.6,36.1,52
Utah,30,11_7,20_12,112.4,98.8,19.2,17,57.4,46.9,36,35.6,33.1,31.2,53
Alabama,34,10_8,19_15,104.4,91.8,20.4,19.8,48.7,44.2,31.7,33.3,39.1,39.9,54
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46,46.2,32.4,35.5,42.9,43.3,55
Texas A&M,31,8_10,16_15,108.3,95.6,21.2,17.4,52.1,43.7,32.9,35.2,33.3,28.1,56
Oklahoma,31,5_13,11_20,107,94.5,19,18.5,45.7,47.1,34.3,36.5,36.7,33.5,57
Nevada,35,14_4,28_7,113.7,100.7,15.5,15.9,49.2,49.3,38.2,31,41.3,28.2,58
Princeton,29,14_0,23_7,107.6,95.4,15.2,20.2,50.5,46.9,37.6,34.5,24.4,32,59
VCU,35,14_4,26_9,108.1,95.9,17.8,21,51.5,46,33.1,33.8,36.4,40.9,60
UCF,36,11_7,24_12,103.8,92.1,22,14.7,48.9,39.9,35.2,31.3,39.9,22.3,61
USC,36,10_8,26_10,113.3,100.6,15.7,17.9,51,47.2,36.2,36.8,36.8,24,62
Georgia,33,9_9,19_15,107.9,95.9,18.6,16.7,48.3,45.4,31.8,33.6,40.7,34.2,63
UNC Wilmington,33,15_3,29_6,117.7,105,13.9,20.1,55.7,54.2,36.1,34,30.8,39.6,64
Vermont,34,16_0,29_6,110,98.2,17,19.6,55.5,46.9,36.7,34.9,34.3,26.5,65
Ohio St.,32,7_11,17_15,111.2,99.4,19.2,17.5,51.6,45.7,35.6,35.6,38.1,29.4,66
California,34,10_8,21_13,103.5,92.5,18.7,16.6,46.6,43.4,34,32.8,37.7,34.1,67
Iowa,34,10_8,19_15,112.6,101,18.6,19.1,49.9,49.5,37.9,35.8,34.9,27.5,68
Georgetown,32,5_13,14_18,107.5,96.4,20.1,17.3,51.8,46.8,34.9,32.4,42.6,38.8,69
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70
Texas,33,4_14,11_22,103.5,93.6,19.6,18.3,51.3,47.7,29.2,32.5,34.5,30,71
East Tennessee St.,33,14_4,27_8,107.3,97.1,20.8,22,55,45.7,38.2,35.4,42.8,38.2,72
San Diego St.,32,9_9,19_14,103.2,93.4,17.5,19,47.5,42.9,31.6,32.1,35.3,32.4,73
Davidson,32,8_10,17_15,108.8,98.6,17.4,17.1,51.9,45.8,34.1,38.1,31.5,33.4,74
Illinois,34,8_10,20_15,105.1,95.3,18.3,18.5,48.5,49.6,36.1,33.7,32.5,30.1,75
Mississippi,36,10_8,22_14,110.3,100.3,19.3,18.8,46.8,46.7,34.7,36.3,42.8,35.6,76
Georgia Tech,36,8_10,21_16,99.4,90.6,19.3,18.8,46.9,43.9,32.5,33.1,35.8,27.4,77
Auburn,32,7_11,18_14,112.4,102.5,17.9,19.9,48.5,48.7,36.6,35.7,42.5,38.8,78
Bucknell,35,15_3,26_9,108.3,99.1,18.9,19.7,54.3,46.5,37.9,34.2,37.2,33.1,79
Colorado,33,8_10,19_15,111.5,102.2,17.4,17.2,49.9,47.3,35.1,36.8,37.5,33.9,80
Cal St. Bakersfield,32,12_2,25_10,100.4,92.1,20.8,22.8,46.9,41,34.2,31.6,38,47.1,81
BYU,34,12_6,22_12,108.2,99.5,18.2,16.2,50.9,47.5,34.4,32.4,42.3,31.1,82
UT Arlington,34,14_4,27_9,108.9,100.4,18.7,20.1,54.7,49.4,33,32.2,34.6,36.6,83
Colorado St.,34,13_5,24_12,108.3,100.2,16.1,16.9,46.6,46.6,34.1,31.4,38.2,31.8,84
Boise St.,31,12_6,20_12,109.1,101.4,17.9,16.6,51.5,47.1,34.8,34.2,40.5,41.9,85
Connecticut,32,9_9,16_17,105.6,98.3,18.7,16.1,46.1,43,35.4,33,34.5,32,86
Richmond,35,13_5,22_13,110,102.5,16.2,20,55.6,50.9,34.2,32.1,31.6,34.6,87
Monmouth,34,18_2,27_7,106.7,99.5,16.7,19.5,47.6,45.1,37.3,33.4,37.3,35.7,88
San Francisco,32,10_8,20_13,102,95.2,18.3,19.4,52.5,46.4,34.7,33.8,27.2,33.9,89
Saint Peter's,36,14_6,23_13,102.2,95.5,17.3,20.9,47.3,48.4,38.1,31.9,33.1,29.2,90
Fresno St.,31,11_7,20_13,103.5,96.8,18.8,20.6,49.5,47.2,35.6,33.6,40.5,46.2,91
Penn St.,33,6_12,15_18,103.4,96.8,17.9,20.3,45.4,46.5,33.9,36.3,32.8,31.2,92
