Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Villanova,40,16_2,35_5,123.1,90.9,16.3,20.6,57.4,44.1,36.2,33.9,34.1,30,1
Kansas,37,15_3,32_5,120.9,90.4,17.8,18.5,52.7,43.4,41.3,32.5,38.6,37.3,2
Virginia,37,13_5,29_8,119.9,91,15.1,18.8,52.6,46.3,40.3,34.7,32.1,33.4,3
North Carolina,40,14_4,33_7,123.3,94.9,15.4,18.2,53.9,44.6,32.7,36.2,32.3,30.4,4
Kentucky,36,13_5,27_9,123.2,95.1,16.2,18,52.9,42.7,36.6,32.6,37.8,40.8,5
Michigan St.,35,13_5,29_6,122.5,96,17.6,14.2,51.4,41.7,43.4,31,30,34.1,6
West Virginia,35,13_5,26_9,114.8,90.4,20,25,50.3,47.7,32.5,33.1,46.2,55.3,7
Oklahoma,37,12_6,29_8,118.2,94.1,18.3,17.7,48.2,45.3,42.2,33.7,33,28.3,8
Wichita St.,34,16_2,25_9,110.3,87.8,14.7,23.2,49.2,42.1,32.3,32.7,37.4,45.4,9
Purdue,35,12_6,26_9,117.2,93.4,17.7,13.7,52.8,42.9,36.7,31.4,35.4,28.1,10
Louisville,31,12_6,23_8,111.5,89.6,17.1,21.6,51.9,42.8,34.7,32.1,31.8,40.5,11
Gonzaga,35,15_3,27_8,117.4,94.5,17.1,15.1,54.3,44.4,37.8,30.3,34.4,28.1,12
Xavier,34,14_4,28_6,117,94.3,17.4,19.3,49.8,48.6,36.3,31.1,41.7,33.6,13
Miami FL,35,13_5,27_8,119.4,96.5,16.5,17.4,53.2,46.9,37.5,34.4,40.7,29.1,14
Indiana,35,15_3,27_8,121.3,98.4,19.6,18.9,56.1,49,41.6,34.3,33.9,30.2,15
Oregon,37,14_4,30_7,118.4,96.2,16.1,20.2,52.6,46.1,34.4,36.2,40.3,32,16
Iowa St.,35,10_8,23_12,121.4,98.6,15.7,16.8,56.7,49.5,38.7,33.5,26.1,24.9,17
Vanderbilt,33,11_7,19_14,114.5,93.2,16.8,14.2,50.1,42.6,38.2,29.4,39.8,34.4,18
Texas A&M,37,13_5,28_9,113,92.2,17.4,20.7,51.3,45.6,34.1,33.3,38.1,32.3,19
Duke,36,11_7,25_11,121.2,98.9,14.3,17.4,51,48.9,38.5,34,40.6,25.3,20
