Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Robert Morris,33,9_9,16_17,93.2,102.1,20.9,22.3,45.9,51.1,33.2,32.8,34.3,36.2,271
Rice,29,4_14,7_24,98.9,108.4,20.7,16.5,48,51.7,32.1,36,35.2,28.5,272
Holy Cross,31,8_10,12_19,97.7,107.2,19.1,20,55.1,49.4,32.6,35.4,29.7,34,273
Santa Clara,29,8_10,11_20,99,108.6,17.2,18.9,47.1,55.1,33.8,40,30.2,32.4,274
UMass Lowell,29,6_10,12_18,103.5,113.7,18.7,20.3,52.4,55,34.4,37.5,39.2,33.5,275
North Florida,30,7_7,14_19,107.1,117.9,19.3,13.7,51.5,54.3,37.5,35.4,27.7,23.5,276
Western Illinois,24,3_11,12_16,96.4,106.1,18.6,14.5,48.6,48.9,34.9,36.6,28.3,29.3,277
Quinnipiac,33,7_11,12_21,100.8,111,19.4,16.3,49.8,50.2,33.9,39.6,37,30.1,278
Prairie View A&M,33,12_6,16_18,100.1,110.2,18.5,22.5,49.2,54.4,32.3,33.2,39.2,47.9,279
Abilene Christian,28,8_10,16_16,96.5,106.6,20.3,21.6,51.9,52.3,31.8,33.2,31.5,43.2,280
IUPUI,28,8_10,11_19,97.6,108,20.5,21.2,45.2,55.6,35.5,35.3,32.9,37.8,281
Lafayette,30,7_11,10_21,101.4,112.2,19.3,14.7,51.4,52.2,37.4,34.4,28.8,26,282
Fairleigh Dickinson,29,9_9,13_18,101.7,112.7,19.2,19.3,49.3,50.1,33.9,36,30.8,35.9,283
Eastern Kentucky,29,5_13,11_20,101.1,112.2,19.1,19.1,48.2,52.9,35.1,39.8,33.4,35,284
UT Rio Grande Valley,31,6_8,15_18,97.4,108.3,17.8,20.4,44.3,49.9,30.5,36.5,41.2,45.5,285
Nebraska Omaha,29,4_10,9_22,103,114.6,18,15.7,50,54.7,35.8,38.4,27.3,28.2,286
Morehead St.,27,4_14,8_21,98,109.2,22.1,19.9,48.5,56,31.8,36,36.7,40.9,287
Cleveland St.,34,6_12,12_23,97.9,109.2,18.9,19.5,50.4,52.5,34,35.9,29.4,31.1,288
Fordham,31,4_14,9_22,94.1,104.9,18.5,21.1,52.1,52.1,28.8,35.1,26.9,30.4,289
New Orleans,30,11_7,16_17,97,108.1,21.9,22.3,47.3,51.6,35.6,37.6,41.5,38.3,290
UC Riverside,29,4_12,9_22,92.8,103.5,20,19.3,44.1,48.5,31.3,33.3,32.4,38.2,291
