Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Creighton,39,10_8,23_16,109.7,100.9,18.9,15.0,51.4,47.4,36.9,34.6,36.0,26.3
Wofford,34,14_4,21_13,111.0,102.0,18.0,20.2,50.4,48.8,40.0,34.8,42.0,41.5
Princeton,31,12_2,24_7,105.8,97.3,18.7,18.3,50.5,46.0,36.9,33.3,36.7,35.4
Marshall,32,9_7,20_12,108.2,99.9,19.7,17.8,50.0,48.3,32.5,29.5,47.4,37.9
Harvard,28,12_2,21_7,110.1,101.7,20.2,19.8,52.6,47.2,37.9,36.3,42.3,26.0
Memphis,35,10_6,25_10,103.5,95.9,21.9,21.3,51.0,45.6,32.9,33.0,39.6,39.1
Arkansas,31,7_9,18_13,106.4,98.6,19.3,20.9,47.1,45.0,36.2,31.5,39.4,31.5
North Carolina St.,31,5_11,15_16,108.4,100.9,17.9,17.1,47.3,46.3,32.9,32.0,36.0,32.3
Portland,32,7_7,20_12,109.9,102.3,19.7,17.5,48.1,48.2,41.2,34.8,33.1,36.7
Tulsa,32,11_5,19_13,105.8,98.6,20.5,17.5,48.8,46.3,34.9,33.4,44.4,40.9
Boise St.,34,10_6,21_13,106.0,98.8,17.3,24.7,48.5,49.8,34.2,38.0,41.6,43.7
Drexel,31,11_7,21_10,97.7,91.1,18.8,15.8,45.7,44.2,31.0,28.5,40.2,37.6
Georgia Tech,31,5_11,13_18,99.9,93.6,19.6,23.8,46.2,47.0,29.9,37.9,31.8,45.2
Indiana St.,33,12_6,19_14,102.2,95.9,21.4,19.4,46.3,44.5,35.4,33.2,38.0,45.8
Northern Iowa,33,10_8,19_14,107.5,100.8,15.3,20.3,48.6,48.9,34.4,37.8,35.5,33.8
Long Beach St.,32,14_2,20_12,105.0,98.5,20.1,19.1,49.3,50.2,33.7,33.9,41.9,28.7
Bucknell,34,13_1,25_9,102.9,96.8,16.9,17.7,46.7,44.1,40.0,31.7,34.1,35.0
Dayton,36,7_9,22_14,102.8,96.8,19.9,18.8,43.6,46.9,35.5,32.3,33.3,38.4
Mississippi St.,31,9_7,17_14,107.3,101.1,19.6,16.1,48.3,46.2,36.2,33.7,35.9,27.3
South Dakota St.,29,10_8,17_12,114.3,107.8,14.3,19.3,49.5,50.5,40.9,40.2,34.9,33.9
Stanford,31,7_11,15_16,103.2,97.5,20.3,21.3,46.8,46.4,35.6,36.4,37.7,36.3
