Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Gonzaga,24,15_0,24_0,124.8,89.1,16.2,20.7,64.5,46.5,36,33,37,26.8,1
Houston,22,13_3,20_3,118,88.6,16.6,22.6,49.2,42.6,35.3,28.1,31.4,43.6,2
Baylor,20,11_1,19_1,121.7,91.9,16.9,25.5,54.4,47.9,42.1,32.6,26.8,31.4,3
Michigan,20,13_2,18_2,118.2,89.6,17,15,54.3,41.6,38.8,33.2,29.9,24,4
Iowa,25,12_6,18_7,124,96.3,13.3,16.2,51.6,45.6,40.1,34.9,33.4,23.4,5
Illinois,25,15_4,19_6,116,90.5,18.7,16.4,55.2,44.7,38.3,33.1,38.4,30.4,6
Florida St.,18,10_3,14_4,120.2,94.4,19,19.6,51.7,44.4,38.7,33.6,33.2,34.8,7
Ohio St.,25,12_7,18_7,121.6,96.6,15.5,15.6,52.8,47.5,36.4,34.4,38.7,32.6,8
Alabama,26,15_2,20_6,110.4,87.9,18.5,21.1,49.8,46.8,35.2,28.6,30.2,32.9,9
San Diego St.,22,13_3,19_4,110.6,89.1,17.6,22.9,50.7,45.3,38,32.5,33.2,31.7,10
Wisconsin,26,10_9,16_10,110.7,89.7,13.3,18.2,46.5,45.8,35.2,34,28,29,11
West Virginia,24,10_5,17_7,116.5,95,16.8,20.2,46.5,50.8,36.6,32.6,39.4,27.3,12
Creighton,23,13_5,17_6,115.5,94.2,15.8,18.4,57.8,45.3,36.7,32.8,28.3,25.3,13
Villanova,19,10_3,15_4,119.1,97.4,13.7,19.4,53,51.8,36.1,36,29.7,26.2,14
Virginia,22,12_4,16_6,113.6,93,15.5,15.8,54.3,46.7,39.2,33.8,22,24.1,15
Colorado,26,13_6,19_7,113.6,92.9,16.7,20.2,50.7,46.4,36.9,32.6,29.6,27.7,16
Arkansas,25,12_4,20_5,111,90.9,16.9,20,51.7,46.8,34.2,31.6,32.6,29.7,17
Texas Tech,24,8_7,16_8,111.5,91.6,16.1,23.9,48.3,45.2,34.1,33.6,39.5,38.1,18
Purdue,25,12_6,17_8,112.2,92.3,18.8,17,51.9,49.4,33.7,31.7,31.5,30.3,19
Loyola Chicago,23,16_2,21_4,107,88.1,18.3,22.2,58.7,45.8,33.9,32.5,31.6,22.9,20
Kansas,25,12_6,18_8,109.2,89.9,17.7,19.6,49.3,46,33.7,32.1,30.4,26.9,21
Texas,22,9_6,15_7,112.7,92.8,19.7,17.7,52.3,45.1,34.4,32.1,35.1,38.1,22
USC,25,13_5,19_6,111.5,92.2,18.3,17.4,51.4,42.3,34.5,33.7,37.5,24.7,23
