Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Kentucky,40,16_0,38_2,122.4,88.9,17.1,17.6,52.7,39.6,37.8,31.8,41.7,25.8
Ohio St.,39,13_5,31_8,116.9,86.5,17.6,22.2,52.9,45.2,33.4,32.5,38.1,29.0
Michigan St.,37,13_5,29_8,113.2,86.7,19.9,19.3,52.1,42.4,36.0,29.9,37.7,34.4
Kansas,39,16_2,32_7,113.0,87.1,19.2,20.2,52.5,39.8,34.5,34.0,39.8,33.1
North Carolina,38,14_2,32_6,115.3,89.1,16.4,18.3,49.6,43.5,33.5,31.9,37.3,21.8
Syracuse,37,17_1,34_3,116.5,91.5,16.1,24.4,51.9,42.5,34.9,31.5,32.9,31.0
Wisconsin,36,12_6,26_10,113.1,88.9,15.0,18.2,46.5,42.0,36.8,29.4,30.7,29.8
Missouri,35,14_4,30_5,125.1,98.7,15.4,21.5,57.0,47.9,39.8,36.8,37.5,27.3
Wichita St.,32,16_2,26_6,115.5,92.2,17.9,18.6,53.0,43.8,36.9,31.2,34.6,32.8
Florida,37,10_6,26_11,120.6,96.4,16.9,19.1,53.0,46.2,38.0,34.2,33.2,29.9
Indiana,36,11_7,27_9,120.1,96.6,19.2,20.0,51.5,46.2,43.1,34.9,44.5,34.3
Vanderbilt,36,10_6,25_11,115.2,92.9,20.0,19.0,51.2,47.2,38.8,30.9,40.1,28.6
Georgetown,32,12_6,23_9,110.5,89.2,19.6,19.8,51.3,43.9,34.4,27.7,38.8,36.3
Memphis,35,13_3,26_9,112.5,91.0,18.7,20.7,53.9,42.0,36.2,31.2,41.3,38.3
Saint Louis,33,12_4,25_8,110.6,89.4,17.9,23.0,50.0,44.4,36.6,31.6,35.5,37.2
Louisville,40,10_8,30_10,104.6,84.9,20.7,22.9,47.2,42.2,31.8,30.3,36.2,34.3
Baylor,37,12_6,29_8,115.3,94.1,20.4,21.0,50.2,46.2,38.0,33.7,35.7,33.4
