Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef,Rank
Louisville,40,14_4,35_5,115.9,84.5,18.3,27,50.8,43.4,33.3,31.8,40,34.9,1
Florida,37,14_4,29_8,115.7,85.7,17.8,22.5,54.3,41.8,37.8,31,31,29.9,2
Indiana,36,14_4,29_7,121,89.7,19.3,20.9,52,43.2,40.3,30.4,45.8,27,3
Gonzaga,34,16_0,31_3,118.9,90.2,17.2,20.8,55,42.1,36.5,32.9,40.8,29.9,4
Syracuse,40,11_7,30_10,113,87,18.9,23.6,48.5,42.6,33.4,28.4,36.8,35.4,5
Michigan,38,12_6,30_8,121.5,93.7,14.6,18.7,53.4,47.6,37.9,32.6,28.4,22.7,6
Kansas,37,14_4,31_6,111.6,86.2,20.3,18.4,52.9,39.3,36.4,30.3,39.5,32,7
Duke,36,14_4,30_6,118.4,91.5,15.6,20.4,50.8,46.2,39.9,29,39.2,32.7,8
Ohio St.,37,13_5,29_8,113.6,89.4,16.2,20.7,49.4,43.6,35.6,32.4,35.5,29.5,9
Wisconsin,35,12_6,23_12,107.2,84.3,15.7,18,48,42.8,33,28.9,29.7,25.7,10
Michigan St.,35,13_5,26_9,111.4,87.8,20.8,19.2,50.4,44.3,34.1,30.1,36.6,32.4,11
Georgetown,32,14_4,25_7,107.6,85,20.1,22.4,50.2,41.4,35.3,30.7,36.8,35.3,12
Arizona,35,12_6,27_8,114.4,92.2,19.5,19.8,50.6,43.4,37.1,35.8,37.4,32.9,13
Pittsburgh,33,12_6,24_9,112.8,91.1,18.1,22,51.5,44,34.9,30.4,37.5,36.4,14
Miami FL,36,15_3,29_7,112.4,90.8,16.7,18.4,50.6,44,36.2,32.6,34.6,28.3,15
VCU,36,12_4,27_9,113.8,92.1,16.9,28.5,50.5,50.1,35.1,32.9,29.8,40.3,16
Saint Louis,35,13_3,28_7,108,87.5,17.6,23.6,50,44.1,34,33.1,44,35,17
Creighton,36,13_5,28_8,116.4,95,18.9,16.1,55.7,45.5,41.4,31.2,34.2,26.1,18
Minnesota,34,8_10,21_13,112.6,92.5,21.6,20.2,48.8,42.8,33.7,33.9,41.6,36.7,19
Wichita St.,39,12_6,30_9,110.6,91,19.4,20,49.6,43.6,33.9,32.2,36.5,38.3,20
Marquette,35,14_4,26_9,113,93.2,20.9,19.5,51.6,44.9,29.6,32.3,40.9,31.7,21
Oklahoma St.,33,13_5,24_9,107.1,88.6,18.2,21.7,49.5,42.4,31.6,32.4,40.5,35.1,22
Iowa,37,9_9,24_13,109.1,90.5,18.6,19.7,47.1,43.7,29.9,29.7,40.8,31.2,23
Saint Mary's,34,14_2,27_7,113.9,94.9,18.3,17.9,52.3,44,37.3,36.7,37,36.9,24
North Carolina,35,12_6,24_11,111.6,93,17.2,21.5,46.3,46.3,37.2,34.4,28.2,27.1,25
Kansas St.,34,14_4,26_8,113.4,94.5,18.2,22.2,46.8,46.5,35.8,33.3,31.7,36.8,26
Iowa St.,35,11_7,23_12,117.2,98.3,18.5,18.6,51.9,48.8,37.4,31.1,33,32.7,27
