Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Duke,40,13_3,35_5,120.8,87.8,16.5,21.3,46.9,44.1,38.5,28.3,37.9,34.1
Kansas,36,15_1,33_3,120.0,89.6,18.7,20.0,52.7,40.1,40.4,33.1,41.3,31.4
Syracuse,35,15_3,30_5,117.5,90.0,21.4,22.0,57.1,46.2,39.1,30.2,36.9,25.6
Kentucky,38,14_2,35_3,114.5,87.7,20.3,19.7,54.5,41.1,33.1,31.3,43.6,29.7
Ohio St.,37,14_4,29_8,117.0,91.3,17.5,21.8,54.8,45.1,39.0,33.7,35.8,26.4
Kansas St.,36,11_5,28_8,115.9,90.5,19.9,23.5,49.0,45.2,36.1,33.7,50.3,47.3
West Virginia,38,13_5,31_7,116.6,91.4,18.3,20.6,48.0,46.1,33.7,32.4,39.6,39.1
Baylor,35,11_5,27_8,119.4,93.8,20.3,17.8,53.0,41.3,38.1,33.7,36.1,34.2
Wisconsin,33,13_5,24_9,115.1,90.7,14.5,19.9,50.0,45.1,35.7,34.3,32.5,36.0
Purdue,35,14_4,29_6,108.3,86.3,16.3,23.4,49.7,41.6,31.8,35.4,38.6,36.8
BYU,35,13_3,29_6,116.6,93.2,15.9,22.0,51.3,44.6,41.4,33.8,38.9,36.4
Texas A&M,33,11_5,23_10,111.3,89.7,18.4,20.6,49.0,44.9,33.8,33.6,48.4,35.4
California,35,13_5,24_11,119.4,96.5,17.7,18.7,52.0,48.8,37.4,31.6,35.4,33.3
Butler,38,18_0,33_5,108.7,88.2,18.7,21.6,50.9,46.1,34.2,31.7,46.9,34.6
Maryland,32,13_3,23_9,117.3,95.3,16.3,21.3,49.9,42.2,38.6,34.0,33.9,29.6
Georgetown,34,10_8,23_11,115.8,94.5,20.9,19.7,54.7,46.0,38.7,33.4,37.0,33.4
Clemson,32,9_7,21_11,110.4,90.1,21.4,24.6,50.9,47.3,34.2,29.4,34.8,35.4
Villanova,33,13_5,25_8,116.5,95.2,18.9,21.1,50.3,45.5,37.3,33.6,43.9,49.1
Missouri,34,10_6,23_11,111.2,90.8,17.8,27.1,47.6,45.2,36.8,31.7,33.9,38.9
Xavier,35,14_2,26_9,115.6,94.5,18.0,17.8,50.1,46.0,37.7,29.8,41.9,32.9
Temple,35,14_2,29_6,107.2,87.7,16.8,18.1,48.4,43.1,33.7,28.5,27.4,26.9
Texas,34,9_7,24_10,113.1,92.6,18.3,20.4,50.9,43.6,34.5,32.2,40.7,35.2
Michigan St.,37,14_4,28_9,112.5,92.4,21.0,18.8,51.6,45.1,34.4,32.8,36.9,31.4
Marquette,34,11_7,22_12,114.5,94.1,15.9,22.0,47.9,50.0,41.3,32.5,34.9,29.4
Minnesota,35,9_9,21_14,113.5,93.4,19.0,21.3,50.0,43.6,39.9,34.1,33.9,32.8
Washington,36,11_7,26_10,112.0,92.3,17.5,22.0,49.5,45.9,33.6,32.1,40.9,44.6
Utah St.,34,14_2,26_8,115.1,94.9,16.3,17.6,52.0,44.7,41.6,32.5,29.6,29.7
Northern Iowa,35,15_3,30_5,108.3,89.4,17.9,20.4,47.5,44.7,35.4,33.3,37.0,28.8
Oklahoma St.,33,9_7,22_11,113.4,93.7,18.4,19.4,52.5,45.0,34.9,36.1,36.5,37.2
Georgia Tech,35,7_9,22_13,108.8,90.3,23.2,21.3,49.0,42.8,35.8,31.3,37.7,34.8
Florida St.,32,10_6,22_10,103.5,85.9,24.3,23.6,50.7,40.3,33.5,32.8,38.6,34.8
Tennessee,37,11_5,28_9,108.4,90.1,18.9,23.1,51.8,45.7,32.0,29.7,35.6,40.7
UNLV,33,11_5,24_9,110.5,92.0,17.2,22.7,53.4,43.2,33.3,33.7,30.9,47.2
Notre Dame,35,10_8,23_12,119.2,99.4,16.0,15.9,51.3,47.8,38.8,34.9,38.1,27.8
Pittsburgh,34,13_5,25_9,110.8,92.4,19.4,16.9,48.9,43.6,34.3,31.4,42.8,33.8
UTEP,33,15_1,26_7,107.2,89.5,18.7,22.3,53.4,43.4,34.3,31.3,39.6,43.2
Dayton,37,8_8,25_12,106.1,88.9,21.3,20.7,50.0,44.0,34.5,30.7,38.5,40.8
Gonzaga,33,12_2,26_7,111.3,93.6,18.6,18.2,54.4,44.8,35.5,33.9,49.2,34.2
Vanderbilt,32,12_4,23_9,113.1,95.2,19.3,19.2,51.5,45.2,36.9,33.9,48.3,34.5
Old Dominion,36,15_3,27_9,106.9,90.1,20.1,22.4,49.2,45.8,31.7,30.0,30.3,29.7
Arizona St.,33,12_6,22_11,109.8,93.1,19.1,20.8,51.9,44.5,36.9,31.7,38.0,34.8
Saint Mary's,33,11_3,27_6,114.7,97.3,17.1,16.0,52.2,46.3,40.6,30.2,32.7,30.2
Mississippi St.,36,9_7,24_12,108.9,92.4,18.5,16.6,49.5,41.8,35.8,32.5,35.3,24.8
San Diego St.,32,11_5,23_9,110.4,94.0,20.8,20.6,53.5,43.1,31.8,36.1,41.0,31.6
Virginia Tech,34,10_6,25_9,107.4,91.6,17.7,22.1,46.8,44.4,30.7,30.0,42.9,35.1
Louisville,33,11_7,20_13,113.9,97.2,20.0,22.3,51.9,46.7,33.7,34.7,35.7,41.0
