Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Louisville,37,15_3,31_6,118.8,87.6,15.3,25.0,52.7,44.3,36.8,28.6,41.2,38.4
Arizona,38,15_3,33_5,116.2,87.4,15.7,19.1,50.7,40.2,36.4,32.0,41.0,34.2
Florida,39,18_0,36_3,115.9,88.4,17.5,21.3,51.3,43.5,35.9,33.0,42.4,31.2
Virginia,37,16_2,30_7,114.6,89.5,16.5,18.4,49.0,42.1,36.9,32.3,42.0,32.5
Wisconsin,38,12_6,30_8,122.7,95.9,12.7,15.3,51.3,45.9,37.6,34.1,42.7,27.1
Duke,35,13_5,26_9,125.9,98.6,14.6,18.5,50.3,50.3,39.5,30.7,38.8,40.8
Tennessee,36,11_7,23_13,118.1,93.4,16.8,16.9,50.6,44.5,31.9,34.5,41.8,31.5
Michigan St.,38,12_6,29_9,119.6,95.3,17.4,17.7,52.1,43.5,39.2,33.2,33.7,40.3
Michigan,37,15_3,28_9,125.0,99.9,14.8,17.1,52.7,50.2,40.2,31.8,34.9,26.7
Wichita St.,35,18_0,34_1,116.4,93.0,16.2,18.2,52.3,43.6,35.0,31.1,46.9,35.7
Kansas,35,14_4,25_10,119.2,95.6,19.1,16.4,55.5,44.3,34.0,35.5,48.3,45.5
Pittsburgh,36,11_7,26_10,117.1,94.0,16.3,19.2,50.1,45.5,35.1,32.6,44.3,36.4
Villanova,34,16_2,29_5,115.2,92.5,17.3,20.0,53.8,43.0,35.6,35.3,44.5,38.6
Connecticut,40,12_6,32_8,112.5,91.3,17.3,19.6,48.1,42.2,38.7,33.0,38.3,35.7
UCLA,37,12_6,28_9,119.0,96.6,14.5,20.3,53.0,48.6,38.0,34.4,38.2,35.7
Syracuse,34,14_4,28_6,114.2,92.8,14.8,21.9,47.7,45.5,33.1,34.5,38.2,36.7
Creighton,35,14_4,27_8,125.2,101.9,15.0,14.8,56.3,47.0,41.4,34.2,33.9,33.0
Ohio St.,35,10_8,25_10,108.4,88.5,17.2,21.9,51.1,45.9,32.4,29.3,42.3,29.8
Iowa,33,9_9,20_13,121.2,99.2,15.9,18.8,50.6,47.3,35.0,31.7,45.3,35.4
Oklahoma St.,34,8_10,21_13,115.6,94.8,14.7,20.0,51.3,45.0,36.4,32.7,49.7,41.0
Gonzaga,35,15_3,28_7,113.6,93.3,17.4,17.4,53.6,43.3,39.0,31.8,41.2,38.6
Kentucky,40,12_6,29_11,117.2,96.2,18.1,16.1,50.0,44.9,33.2,32.2,51.8,36.8
San Diego St.,34,16_2,29_5,109.4,90.7,15.2,20.6,45.1,43.5,34.2,30.8,45.1,32.4
VCU,35,12_4,26_9,108.3,89.8,17.2,25.6,45.6,48.8,34.9,30.3,35.2,39.7
Iowa St.,36,11_7,28_8,118.6,98.8,14.5,15.9,54.4,46.0,35.8,34.1,36.4,30.7
Baylor,36,9_9,24_12,119.2,99.5,17.8,15.8,48.3,46.4,38.0,35.6,44.8,32.3
North Carolina,34,13_5,24_10,113.4,94.7,16.9,19.3,49.7,46.7,33.6,31.7,42.9,41.4
Oklahoma,33,12_6,23_10,118.2,99.4,15.7,17.8,48.7,48.8,37.9,34.2,39.4,38.5
Cincinnati,34,15_3,27_7,108.7,91.5,17.4,22.4,46.6,43.2,33.5,32.0,38.7,36.0
