Opponent,Results,Score,PlusMinus
Washington St.,L, 85_67 ,-6.7
Denver,L, 79_69 ,-8.5
Utah,L, 102_72 ,-15.7
Lamar,L, 82_70 ,0.4
Portland,W, 66_65 ,-1.8
Utah Valley,L, 100_76 ,-7.9
North Dakota St.,L, 67_62 ,2.7
Utah St.,L, 69_58 ,-3
UT Rio Grande Valley,W, 76_64 ,0.9
Cal St. Northridge,W, 84_79 ,2.5
Weber St.,L, 77_56 ,-11.8
Northern Colorado,W, 83_78 ,9.9
North Dakota,L, 84_76 ,-8.9
Sacramento St.,L, 82_71 ,-2.6
Portland St.,W, 73_70 ,6.6
Weber St.,W, 69_68 ,0.6
Southern Utah,W, 87_68 ,12.8
Northern Arizona,W, 88_66 ,6.7
North Dakota,L, 76_60 ,-11.5
Northern Colorado,W, 90_57 ,15.8
Portland St.,W, 88_71 ,6.9
Sacramento St.,W, 66_64 ,5.2
Northern Arizona,L, 81_68 ,-7.2
Southern Utah,W, 89_71 ,9.9
Montana,L, 90_77 ,-7.9
Montana St.,W, 76_69 ,2.5
Eastern Washington,W, 75_71 ,5
Idaho,L, 80_70 ,-3.6
North Dakota,L, 83_49 ,-18.4
