Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
"Duke   1 seed, CHAMPS",40,'13–3,'35-5,120.8,87.8,16.5,21.3,46.9,44.1,38.5,28.3,37.9,34.1
"Kansas   1 seed, R32",36,'15–1,'33-3,120.0,89.6,18.7,20,52.7,40.1,40.4,33.1,41.3,31.4
"Syracuse   1 seed, Sweet Sixteen",35,'15–3,'30-5,117.5,90.0,21.4,22,57.1,46.2,39.1,30.2,36.9,25.6
"Kentucky   1 seed, Elite Eight",38,'14–2,'35-3,114.5,87.7,20.3,19.7,54.5,41.1,33.1,31.3,43.6,29.7
"Ohio St.   2 seed, Sweet Sixteen",37,'14–4,'29-8,117.0,91.3,17.5,21.8,54.8,45.1,39,33.7,35.8,26.4
"Kansas St.   2 seed, Elite Eight",36,'11–5,'28-8,115.9,90.5,19.9,23.5,49,45.2,36.1,33.7,50.3,47.3
"West Virginia   2 seed, Final Four",38,'13–5,'31-7,116.6,91.4,18.3,20.6,48,46.1,33.7,32.4,39.6,39.1
"Baylor   3 seed, Elite Eight",35,'11–5,'27-8,119.4,93.8,20.3,17.8,53,41.3,38.1,33.7,36.1,34.2
"Wisconsin   4 seed, R32",33,'13–5,'24-9,115.1,90.7,14.5,19.9,50,45.1,35.7,34.3,32.5,36
"Purdue   4 seed, Sweet Sixteen",35,'14–4,'29-6,108.3,86.3,16.3,23.4,49.7,41.6,31.8,35.4,38.6,36.8
"BYU   7 seed, R32",35,'13–3,'29-6,116.6,93.2,15.9,22,51.3,44.6,41.4,33.8,38.9,36.4
"Texas A&M   5 seed, R32",33,'11–5,'23-10,111.3,89.7,18.4,20.6,49,44.9,33.8,33.6,48.4,35.4
"California   8 seed, R32",35,'13–5,'24-11,119.4,96.5,17.7,18.7,52,48.8,37.4,31.6,35.4,33.3
"Butler   5 seed, Finals",38,'18–0,'33-5,108.7,88.2,18.7,21.6,50.9,46.1,34.2,31.7,46.9,34.6
"Maryland   4 seed, R32",32,'13–3,'23-9,117.3,95.3,16.3,21.3,49.9,42.2,38.6,34,33.9,29.6
"Georgetown   3 seed, R64",34,'10–8,'23-11,115.8,94.5,20.9,19.7,54.7,46,38.7,33.4,37,33.4
"Clemson   7 seed, R64",32,'9–7,'21-11,110.4,90.1,21.4,24.6,50.9,47.3,34.2,29.4,34.8,35.4
