Opponent,Results,Score,PlusMinus
South Florida,L, 67_61 ,-1.6
Texas A&M,L, 80_68 ,-4.9
Florida Gulf Coast,W, 79_62 ,6.1
TCU,L, 60_53 ,0.2
Texas St.,W, 94_86 ,11.2
UNLV,L, 67_53 ,-17.6
College of Charleston,L, 72_71 ,-0.9
Northeastern,L, 73_62 ,-8.7
Army,W, 71_63 ,8
Texas St.,L, 91_86 ,-12.4
UTEP,L, 49_45 ,-5
North Carolina Central,W, 78_50 ,13.9
Tulsa,L, 63_56 ,-10.5
UAB,L, 63_62 ,8.4
Rice,W, 73_65 ,2.8
Houston Baptist,W, 82_68 ,11
UCF,W, 65_43 ,15.9
Memphis,W, 70_60 ,-2
Southern Miss,L, 56_53 ,-0.1
Tulane,W, 66_48 ,12.1
UTEP,L, 62_51 ,-4.4
Houston,L, 66_60 ,-3.4
Rice,W, 67_57 ,2.3
Memphis,L, 76_63 ,-11.4
East Carolina,W, 59_54 ,4
Houston,W, 94_83 ,1.2
Tulsa,L, 58_55 ,-1.7
Marshall,L, 73_57 ,-3
UCF,L, 69_53 ,-4.1
