Opponent,Results,Score,PlusMinus
Utah St.,L, 66_60 ,-7.2
UC Santa Barbara,L, 66_57 ,-9.2
Seattle,L, 91_87 ,-4
BYU,L, 87_70 ,-6.3
Utah,W, 83_76 ,-4.1
Sacramento St.,W, 80_65 ,0.8
Southern Utah,W, 84_66 ,15
UNLV,L, 72_63 ,-8.2
Cal St. Fullerton,W, 82_71 ,6.4
Morehead St.,W, 66_64 ,-8.6
Utah St.,L, 85_73 ,-13.2
Montana St.,W, 75_62 ,3.3
Montana,W, 64_56 ,3
Northern Colorado,L, 84_75 ,-9.9
Northern Arizona,W, 87_62 ,7.9
Idaho St.,W, 95_93 3OT,4.3
Portland St.,W, 86_83 ,6.1
Eastern Washington,W, 89_67 ,12.7
Sacramento St.,W, 81_59 ,7.5
Montana,L, 75_61 ,-9.8
Montana St.,W, 75_71 ,5.2
Northern Arizona,W, 76_66 ,8.4
Northern Colorado,W, 81_76 ,0.5
Idaho St.,W, 89_64 ,11.7
Eastern Washington,W, 85_57 ,18.9
Portland St.,L, 84_79 ,-3.8
Portland St.,W, 69_60 ,3.6
Montana,L, 66_65 ,9.5
Cincinnati,L, 76_62 ,-9.8
