Opponent,Results,Score,PlusMinus
Wyoming,L, 78_70 ,-2.1
New Mexico St.,L, 86_65 ,-10.4
Stetson,W, 82_62 ,13.4
Florida A&M,W, 95_56 ,16.4
Colorado St.,L, 66_58 ,-2.4
Colorado,L, 93_68 ,-5.9
Nebraska Omaha,L, 92_82 ,-10.2
Jacksonville St.,W, 69_60 ,-3.1
UC Davis,L, 73_63 ,-4.4
Montana,L, 66_48 ,-9.3
Montana St.,W, 62_54 ,5.6
Portland St.,W, 90_85 ,1.2
Sacramento St.,W, 84_73 ,1.7
North Dakota,W, 88_78 OT,3.1
Eastern Washington,L, 95_85 ,-18.3
Idaho,L, 83_79 ,-14.7
Idaho St.,W, 79_76 ,2
Weber St.,W, 71_57 ,5.2
Northern Arizona,L, 65_60 ,-0.4
Southern Utah,W, 84_80 ,3.2
Montana St.,L, 90_87 ,-8.3
Montana,L, 83_81 3OT,-4.5
Sacramento St.,L, 66_59 ,0
Portland St.,L, 91_75 ,-6
Southern Utah,W, 77_67 ,10.5
Northern Arizona,W, 76_74 ,0.1
North Dakota,W, 72_71 ,6.5
Northern Arizona,L, 63_57 ,-4.4
