Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
"Gonzaga   1 seed, Elite Eight",37,16_0,33_4,124.4,91,14.9,19,61.4,43.4,36.3,30.4,35.3,25.9
"Virginia   1 seed, CHAMPS",38,16_2,35_3,123.8,91.1,14.7,17.5,52.5,45.7,39.5,28.9,29.1,26.3
"Texas Tech   3 seed, Finals",38,14_4,31_7,115.9,86.4,17.7,22.8,52.8,41.9,36.5,29.7,32.9,36.6
"Michigan   2 seed, Sweet Sixteen",37,15_5,30_7,115.3,86.8,13.9,18,51.8,44.3,34.2,29.1,27.5,24.1
"Duke   1 seed, Elite Eight",38,14_4,32_6,119.6,90.4,17.5,19.4,58,45,30.8,29.9,33.2,24
"Michigan St.   2 seed, Final Four",39,16_4,32_7,120.6,92.3,18.5,14.9,54.3,41.9,37.8,31.6,33.6,27.5
"North Carolina   1 seed, Sweet Sixteen",36,16_2,29_7,120.8,92.6,17.2,18.3,52.1,47.9,36.2,33.5,30.2,28.4
"Kentucky   2 seed, Elite Eight",37,15_3,30_7,118.3,91,18.6,17.9,52.9,43.6,35.4,34.3,41.9,26.8
"Purdue   3 seed, Elite Eight",36,16_4,26_10,123.5,95.6,15.8,18.6,51.5,47.2,37.4,34.2,29.9,31.7
"Tennessee   2 seed, Sweet Sixteen",36,15_3,31_6,123.5,96.5,15.8,18,55.4,44.7,36.7,35.4,33.3,34.9
"Houston   3 seed, Sweet Sixteen",37,16_2,33_4,116.6,91.6,16.5,18.2,51.3,43,35.5,27.9,31.6,37.3
"Auburn   5 seed, Final Four",39,11_7,30_10,122,96.4,16.8,24.6,51.7,51.4,38.1,34.8,30.9,36.4
"Virginia Tech   4 seed, Sweet Sixteen",35,12_6,26_9,118.6,94.5,17.3,21.6,52.9,49,39.4,32.7,31.9,26.3
"Kansas St.   4 seed, R64",34,14_4,25_9,108.8,89,17.4,22.8,48.9,49,33.4,31.4,30.6,30.7
"Florida St.   4 seed, Sweet Sixteen",37,13_5,29_8,112.5,92,18.9,20.3,50.9,45.3,33.2,33.5,35.8,35.7
"Iowa St.   6 seed, R64",35,9_9,23_12,119.1,97.8,16.3,18.8,55,47.1,36.2,33.6,30,23.6
"Kansas   4 seed, R32",36,12_6,26_10,113.7,93.7,18.8,18.2,52.6,46,35,33.6,32.5,27.8
"LSU   3 seed, Sweet Sixteen",35,16_2,28_7,118.7,97.9,17.9,20.1,52.9,49.4,31.9,33.7,37.1,33.1
"Wisconsin   5 seed, R64",34,14_6,23_11,109,89.8,14.6,17.2,49.7,44.1,35.9,31.5,27.3,25.8
"Louisville   7 seed, R64",34,10_8,20_14,113.7,94.3,17.5,16.1,50.6,46,34.2,32,34.9,32
"UCF   9 seed, R32",33,13_5,24_9,113.6,94.4,17.6,18,52,44.5,36.5,31.3,45.3,29.2
Texas,37,8_10,21_16,114.1,94.9,16.2,18.9,49.8,46.2,34.8,35.4,29.7,29.7
"Mississippi St.   5 seed, R64",34,10_8,23_11,117.7,98,19.2,19.5,53.4,48.4,37.7,35.7,32.7,32.1
"Florida   10 seed, R32",36,9_9,20_16,111.1,92.9,17.9,22.4,49.5,48.5,33.4,31.6,29.9,33.6
