Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
"Kentucky   1 seed, Final Four",39,18_0,38_1,120.3,84,16.3,21.3,51.2,39.1,34.9,27.1,43.9,31.7
"Duke   1 seed, CHAMPS",39,15_3,35_4,125.2,90.6,16.3,18.6,55.9,46.3,38.7,31.4,39.8,23.9
"Wisconsin   1 seed, Finals",40,16_2,36_4,129.1,93.6,12.4,15.8,54.8,44.7,36.5,37.5,36.2,22.4
"Arizona   2 seed, Elite Eight",38,16_2,34_4,117.5,86.9,16.5,20.6,53.3,42.7,36,33.5,47.1,37.3
"Villanova   1 seed, R32",36,16_2,33_3,121.9,91.1,16.3,21.6,53,45.3,38.9,30.5,41.8,30.4
"Virginia   2 seed, R32",34,16_2,30_4,112.1,84.1,15.7,17.9,49.7,40.1,35.2,30.8,34.9,28.6
"Utah   5 seed, Sweet Sixteen",34,13_5,25_9,114.9,88.7,18.2,18.3,52.3,41.4,40.1,31.2,43.4,34.3
"North Carolina   4 seed, Sweet Sixteen",38,11_7,26_12,119.6,92.5,18.2,17.7,50.9,45.6,35.8,30,35.2,37.8
"Gonzaga   2 seed, Elite Eight",37,17_1,34_3,120.2,93.1,16.1,17.1,57,42,40,33,38.7,30.5
"Notre Dame   3 seed, Elite Eight",38,14_4,32_6,125.3,98.6,14.5,17.3,58.2,47.4,39,32.6,36.7,24.1
"Oklahoma   3 seed, Sweet Sixteen",35,12_6,24_11,111.6,88.5,17.6,19.7,48.2,42.2,34.3,31.7,32.8,28.4
"Michigan St.   7 seed, Final Four",39,12_6,27_12,116.3,92.6,17.5,16.5,50.8,43.8,38.5,31.5,32.7,39
"Baylor   3 seed, R64",33,11_7,23_10,116.3,92.7,20.1,19.3,46.1,46.4,38.2,29.8,38.6,32.1
"Kansas   2 seed, R32",36,13_5,27_9,113.6,90.6,19.2,17.5,46.4,43.4,37.9,31.5,42.6,33.8
"Louisville   4 seed, Elite Eight",36,12_6,27_9,109.4,87.4,17.2,21.3,48.4,43.3,30.7,30.3,38.7,33.3
"Wichita St.   7 seed, Sweet Sixteen",34,17_1,29_5,114.3,91.5,15,21.3,48.9,42.6,35.4,35.3,36.2,36.6
"Northern Iowa   5 seed, R32",35,16_2,31_4,115.4,93,17.8,19.2,53.3,44,39.8,32.1,39.8,27
"Iowa   7 seed, R32",34,12_6,22_12,114,92,17.1,18.9,47.3,43.7,33.3,32.6,38,29.1
"Butler   6 seed, R32",34,12_6,23_11,108.5,88.6,17,19.5,46.3,47.1,35.6,30.7,40.8,33.4
"Ohio St.   10 seed, R32",35,11_7,24_11,113.9,93.1,17,21.6,53.6,45.2,37,32.2,34.7,27.8
"Iowa St.   3 seed, R64",34,12_6,25_9,116.9,95.6,15.8,18.5,54.3,45.2,36.2,34.7,36.5,24
"Xavier   6 seed, Sweet Sixteen",37,9_9,23_14,115.7,95.1,18.1,18.8,53.7,48.9,35.1,34.6,38.5,33.3
"Texas   11 seed, R64",34,8_10,20_14,110.3,90.7,20.1,14,48.3,37.7,33.8,34.7,36.6,34.8
"Georgetown   4 seed, R32",33,12_6,22_11,112.6,93.5,19.2,20.2,50.5,43.1,35.3,36.2,43.9,44.1
"Providence   6 seed, R64",34,11_7,22_12,111.6,93.7,18.1,19.7,48.9,47.1,31.3,33.3,40.7,39.3
Florida,33,8_10,16_17,105.8,89.4,19.6,21.6,50.3,44.6,32.4,32.8,31.4,37.8
"West Virginia   5 seed, Sweet Sixteen",35,11_7,25_10,110.3,93.3,18.7,28,45.5,51.8,31.6,36.5,40.4,55.5
"BYU   11 seed, R68",33,13_5,23_10,118.3,100.3,16.4,17.7,50.2,49.6,39,33.1,42.5,39.2
"Arkansas   5 seed, R32",36,13_5,27_9,113.2,96,16.9,22.3,48.8,46.2,34.9,35.2,37.3,38.8
"San Diego St.   8 seed, R32",35,14_4,26_9,103.1,87.5,18.6,21.1,45.9,42.3,32,30.6,36.2,25.7
"North Carolina St.   8 seed, Sweet Sixteen",36,10_8,22_14,114.1,96.8,16,14.9,47.3,43.6,35.6,33,35.3,34.7
"Purdue   9 seed, R64",34,12_6,21_13,110.5,93.9,19.9,17.6,50.9,42.3,32.7,35.1,41.7,38.4
"SMU   6 seed, R64",33,15_3,26_7,111.1,94.6,19.5,20.3,51.3,42.9,36.3,32.7,43.8,31.2
"Maryland   4 seed, R32",35,14_4,28_7,110.2,94,18.9,17.2,48,44.1,37.6,31.8,44.5,28.1
"St. John's   9 seed, R64",32,10_8,20_12,110.6,94.7,15.7,19.5,48.2,44.9,34.5,32.6,35.7,33.3
Syracuse,31,9_9,18_13,106.1,90.8,17.9,21.1,48.3,45.9,30,31.4,35.4,30
"Georgia   10 seed, R64",33,11_7,21_12,107.6,92.6,19.2,16.7,47.2,43.2,34.2,31.2,47.7,34.3
"LSU   9 seed, R64",33,11_7,22_11,107.8,92.8,20.2,19.1,50.1,43.9,33.9,30.9,33.5,29.4
"Indiana   10 seed, R64",34,9_9,20_14,119.5,103,17.2,15.9,50.2,50.9,40.6,32.5,32.7,32.8
"Oklahoma St.   9 seed, R64",31,8_10,17_14,110.7,95.4,18.5,21.1,49.2,44.1,34.6,34.4,39,42.1
Miami FL,38,10_8,25_13,111.2,96,15.9,17.3,47.4,47.1,35.8,32.4,35.5,28.5
"Davidson   10 seed, R64",31,14_4,23_8,118.3,102.2,14.1,17,53.1,51.4,38.7,30,28.5,34.6
"UCLA   11 seed, Sweet Sixteen",36,11_7,22_14,111.8,96.6,17.6,17.9,47.4,45.4,36.8,35.6,35.7,32.3
Stanford,37,9_9,24_13,112.2,97.2,16.2,17.2,46,44.7,37.7,37.4,40.5,36.5
"Cincinnati   8 seed, R32",34,13_5,23_11,106.5,92.3,21,19.9,49.6,42.2,32.9,31.9,37.1,26.1
"Oregon   8 seed, R32",35,13_5,25_10,114.3,99.1,16.9,16.7,50.8,47.1,36.9,33.2,29.1,35.4
"VCU   7 seed, R64",36,12_6,26_10,108.4,94,15.7,23.5,46.9,48.3,34.3,34.5,37.3,37.8
Vanderbilt,34,9_9,20_14,114.1,99.2,20,18.1,51.5,44.5,39.6,34,42.4,34.4
Michigan,31,8_10,15_16,110.9,97.1,15.6,19.4,47,50.8,35.3,34,26.6,26.7
TCU,33,4_14,18_15,107.6,94.2,18.4,20,47.5,42.2,32.7,33.5,46.5,48
"Boise St.   11 seed, R68",32,14_4,23_9,109.5,96,16.1,19.4,49.6,48.1,38.9,31.3,32.4,31.6
Minnesota,32,6_12,17_15,111.2,97.6,17.7,24.2,50.1,48.3,37.2,36.8,32.9,34.5
Illinois,33,9_9,19_14,107.1,94.4,15.2,19.7,44.4,47.3,35.5,32.9,31.2,30.4
South Carolina,32,6_12,16_16,104.5,92.2,19.6,21,45.2,43.2,30.1,31.7,37.3,44.5
"Dayton   11 seed, R32",36,13_5,27_9,107,94.5,17.9,21.1,52.6,46.5,35.6,32.5,48.1,30.6
Texas A&M,33,11_7,21_12,107.9,95.3,19.2,19.4,49.6,47.1,35.1,31,38.1,36.4
"Mississippi   11 seed, R64",34,11_7,21_13,112.2,99.2,16.5,18.7,46.8,43.6,33.2,35.8,36.1,41.2
Temple,37,13_5,26_11,104.3,92.3,14.6,18.8,43.4,43.3,30.4,31.4,35.6,33.5
Richmond,35,12_6,21_14,106.7,94.6,15.6,21.1,52.8,46.2,34,30.3,32.9,33.5
Saint Mary's,30,13_5,20_10,110,97.7,18.8,15.4,50.6,47.2,37.1,33.1,34.1,33.2
Clemson,31,8_10,16_15,104.2,92.7,18.6,17.7,46.5,43.9,29.9,32.8,34.4,31.2
