Name,GamesPlayed,ConfRecord,TotalRecord,OffEff,DefEff,Turnovers,ForcedTurnovers,2PFGOff,2PFGDef,3PFGOff,3PFGDef,FTOff,FTDef
Kansas,30,17_1,28_3,116.1,87.7,18.7,18.6,54.9,42.4,34.1,30.5,35.8,23.2
Baylor,30,15_3,26_4,114.5,88.4,17.8,22.7,47.5,44.4,35.1,31.1,30.8,30.8
Gonzaga,33,15_1,31_2,121.3,94.3,15.3,18.4,57.4,47.4,38.6,32,38.8,21.8
Dayton,31,18_0,29_2,119.5,93.4,18,18.8,62.3,45.1,37.1,33,33.9,30.9
Michigan St.,31,14_6,22_9,114.8,91.3,18.1,15.8,52.9,43.4,34.8,28.7,30.8,29.3
Duke,31,15_5,25_6,115.3,91.9,17.8,20.2,52.5,46,35.2,29.9,35.6,30.9
Creighton,30,13_5,24_7,120.6,96.4,15.9,17.6,53,48.9,38.7,31.8,28.8,23.4
Ohio St.,31,11_9,21_10,114.5,92.6,19.1,18.3,49.7,44.2,37.3,32.7,36.7,29.3
San Diego St.,31,17_1,30_2,113.8,92.8,16.2,21.3,53,45.3,37.9,30.1,28.3,30.6
Louisville,31,15_5,24_7,115.1,94,18,17.4,50.1,45.1,37.6,30.1,32.2,29
Villanova,31,13_5,24_7,114,93.7,16,16.9,51.5,47.9,35.9,32.5,26.9,23.6
Arizona,32,10_8,21_11,110.9,91.2,16.7,20.6,49.6,44.4,35.2,31.2,36.7,35.2
Houston,31,13_5,23_8,112,92.2,17.8,18.2,46.6,44.5,33.7,28.6,32.9,41.6
Michigan,31,10_10,19_12,113,93.1,15.3,16.1,54.1,46.3,33.9,32.3,26.7,26.4
Penn St.,31,11_9,21_10,111.4,91.9,15.8,18.6,50,45.2,32.5,32.5,31,31.8
West Virginia,31,9_9,21_10,107.4,88.6,20.7,22.4,48,45.4,28.6,28.8,40.5,37.1
BYU,31,13_3,24_8,115.9,96,15.5,18.2,54.8,50.8,41.9,30.3,23.4,27.9
Oregon,31,13_5,24_7,117.5,97.4,17.5,19.8,51.4,46.2,39.6,32.6,28.9,29.5
Wisconsin,31,14_6,21_10,110.9,92,15.4,16.9,48.3,44.9,35.2,33.1,26.9,25.3
Florida St.,31,16_4,26_5,111.2,92.5,18.9,23.7,51.5,46.6,35.1,31.7,30.1,34.4
Seton Hall,30,13_5,21_9,112.2,93.4,18.6,19.5,52.3,44.4,33.5,32,34.8,32.4
Texas Tech,31,9_9,18_13,109.9,91.7,19.7,23.1,50.9,46.2,35.6,31,34.5,35.4
Purdue,31,9_11,16_15,109.6,91.6,17.4,20.4,46.7,48.1,33,30.5,25.8,31.9
Butler,31,10_8,22_9,112.7,94.6,17.3,17.9,52.9,43.5,34.1,33,29.4,30.9
Providence,31,12_6,19_12,109.3,91.8,19.3,21.4,45.9,47.9,33.2,31.1,35.9,37.4
Maryland,31,14_6,24_7,112.7,94.7,16.7,17.3,50.1,44.5,31.1,32.5,37.7,24.2
Minnesota,31,8_12,15_16,111.9,94.4,16.7,15.8,48.6,45.4,33.7,30.7,27.5,28
Kentucky,31,15_3,25_6,112.8,95.2,18.1,17.3,50.4,44.9,34.3,30.7,40.7,32.1
Illinois,30,13_7,21_10,110.9,93.8,17.9,16.6,49.6,45.8,30.3,33,32.2,23.9
Rutgers,30,11_9,20_11,107.5,91,17.9,18.9,50.1,43.8,30.8,31.2,29.1,27.5
Iowa,31,11_9,20_11,117.2,99.7,17.1,17.6,51.3,50.3,34.7,32.1,34.4,26.8
Florida,31,11_7,19_12,112.6,95.9,17.8,19.2,52.2,47.4,34.7,32.6,34,33.7
Marquette,30,8_10,18_12,114,97.4,18.9,15.1,46.9,46,38.2,32.2,39.2,34.9
Virginia,30,15_5,23_7,100,85.6,20.1,19.3,47.8,42.5,30.3,29.3,26.6,21.6
Wichita St.,31,11_7,23_8,105.2,90.2,17.9,20.1,45.8,43.9,32.8,30.2,33.7,38.4
Indiana,32,9_11,20_12,108.1,93.3,18.3,17.8,49.5,47.6,32.6,32.2,39.2,32.6
Oklahoma,31,9_9,19_12,108.2,93.4,16,16.7,48.6,44.2,31.8,33.6,31.3,19.7
Utah St.,32,12_6,26_8,109.3,94.4,18.2,17.5,53.3,44.9,32.9,32.3,36.3,26.8
Auburn,31,12_6,25_6,111.1,96.1,17.9,18.7,53.3,46.2,30.6,32.5,43.8,33.9
Xavier,32,8_10,19_13,106.4,92.2,19.8,18.6,50.2,46.7,31.2,30.5,30.9,28.9
Saint Mary's,33,11_5,25_8,114,98.8,14.9,17.7,51.9,50.7,38.8,34,30.8,28
Colorado,32,10_8,21_11,108.9,94.4,19.2,19.4,49.1,44.8,35.1,34.2,36.2,26.1
LSU,31,12_6,21_10,118.3,102.5,17.6,16.6,54.7,47.8,32.7,34.5,35.4,26.4
Syracuse,32,10_10,18_14,113.5,98.6,16.5,20.3,51.4,48.3,32.9,32.2,35.7,30.2
Stanford,32,9_9,20_12,104.2,90.7,20.7,22.5,52.1,46.3,37.3,29.6,31,31.8
North Carolina St.,32,10_10,20_12,110.6,96.5,16.9,20.1,52.6,48,31.8,31.6,28.5,35.4
Richmond,31,14_4,24_7,108.5,94.9,15.6,19.9,53,49.1,36.2,30.5,27.8,30.2
Cincinnati,30,13_5,20_10,108.5,94.9,20.2,19.7,51.7,43.1,31.9,33.7,39.6,29.2
Mississippi St.,31,11_7,20_11,113.6,99.8,20.6,17.1,51.9,48.8,33.6,31.2,39.5,31.6
Saint Louis,30,12_6,23_8,106.6,93.8,18.8,19.6,49.7,44.5,34.2,32.4,39.8,36.6
Georgia Tech,30,11_9,17_14,103.6,91.3,22.9,19.3,51.2,45.7,31,28.3,34.8,35.7
Arkansas,32,7_11,20_12,108.9,96.1,15.9,22.1,51.5,50.5,33.4,27.2,42.5,40.9
Oklahoma St.,32,7_11,18_14,107.2,94.7,19.4,20.6,48,48.3,31.5,29.9,35.2,33.1
Washington,32,5_13,15_17,105.5,93.3,21.3,19.3,51.4,42.4,32.5,31.2,37.9,31.4
Notre Dame,32,10_10,20_12,111.2,98.5,14.2,16.8,49.4,45.8,34.5,33.7,25,19.7
Connecticut,31,10_8,19_12,108.6,96.3,19.9,21.9,47.4,45,32.4,33,34.6,34.6
USC,31,11_7,22_9,103.6,91.9,20.4,18.1,48.1,43.1,35,31.3,35.4,28
St. John's,32,5_13,17_15,106.7,94.7,15.1,22.7,44.9,48.7,32.1,31.7,30,36.2
Arizona St.,31,11_7,20_11,106.1,94.4,17.9,22.3,49,48.8,32.3,33.1,32.4,34.2
Alabama,31,8_10,16_15,111.4,99.2,19.1,18.1,52.1,48.4,34.9,31.2,36.9,35.8
Tennessee,31,9_9,17_14,107.3,95.5,20.5,19.6,49.9,44,31.3,33.1,37.3,35.3
South Carolina,31,10_8,18_13,105.5,94,18.1,21.4,49.5,45.7,31,29.6,36.8,53
Memphis,31,10_8,21_10,100.1,89.2,22.3,20.2,50,40.7,32.9,28,39.9,35
Northern Iowa,29,14_4,25_6,111.9,99.8,18.6,15.6,52.6,47.2,38.6,33.7,27.6,25.8
Rhode Island,30,13_5,21_9,105,94.1,16.4,20.9,46.7,49.1,31.5,29.7,37.1,28.5
San Francisco,33,9_7,22_12,108.1,97,17.3,18.5,52.2,47.7,33.5,37.6,29.4,31.9
VCU,31,8_10,18_13,104.9,94.1,17.8,24.5,48.4,46.8,34.6,33.7,33,35.9
Texas,31,9_9,19_12,103.3,92.7,20.5,20.8,49.7,46.3,33.5,32.2,22,35.3
North Texas,29,14_4,20_11,111.6,100.3,20.6,20.7,54.6,47.8,37.5,35.5,29.4,38.8
Davidson,30,10_8,16_14,113.1,101.7,16.5,17.2,52,49.1,36.8,33.2,31.5,32.7
UCLA,30,12_6,19_12,109.6,98.6,19.5,19.4,48.4,46.9,32.2,38.3,37.6,35.2
Clemson,31,9_11,16_15,103.8,93.5,18.5,20,52.6,47.9,31.5,32.6,28.9,28.7
Louisiana Tech,28,13_5,22_8,108.5,97.7,18.5,20.7,53.3,47.4,35.5,31.3,29.3,32.6
Yale,28,11_3,23_7,107.8,97.8,18.5,16.6,52.7,46.9,36.9,30.6,31.2,25.7
Tulsa,31,13_5,21_10,102.2,92.7,19.7,21.5,50.3,48.2,32.2,29.9,39.8,28.3
Georgetown,32,5_13,15_17,110.2,100.1,18.9,18.8,47.8,48.1,34.6,36.4,33.9,26.6
East Tennessee St.,31,16_2,30_4,107.1,97.3,18.2,22.4,55.2,51.1,33.9,31.7,36.9,33.1
North Carolina,33,6_14,14_19,108.2,98.3,18.1,16,46.8,48.2,30.4,33.6,33.5,29.2
Liberty,32,13_3,30_4,105.6,96,15.2,19.4,55.7,45.9,35,30,32,28.6
Nevada,31,12_6,19_12,110.1,100.2,16.7,15.2,49.5,48.8,38.3,29.8,28.3,36.5
Texas St.,30,13_7,21_11,106.7,97.3,16.6,21.2,49.4,46.2,31.8,32.1,35.2,39
SMU,30,9_9,19_11,113,103.3,19.8,18.7,54.7,47.4,32.3,34.4,31.7,28.2
Akron,29,14_4,24_7,107.9,98.8,17.9,18.4,49.6,45.2,36.2,31.5,35.5,29.1
Oregon St.,31,7_11,18_13,110.5,101.4,17.3,18.6,53.2,47.9,32.5,34.7,38.8,30.9
New Mexico St.,29,16_0,25_6,107.7,99,20.6,20.9,53.4,49.7,34.6,32.9,31.9,32
Furman,29,15_3,25_7,106.6,98,16.6,23,57,53.6,34.5,31.2,31.6,26.8
TCU,31,7_11,16_16,105.1,96.7,21.5,21,46.6,47.6,35.4,35.1,27.1,30.8
Georgia,31,5_13,16_16,108.7,100.1,20.1,17.9,54.5,52.1,30.1,32,33.6,31.5
Vermont,32,14_2,26_7,105.4,97.1,17.2,19,53.4,42.4,33,32.2,31.3,31.5
Iowa St.,32,5_13,12_20,109.3,100.8,18.7,20.6,51.3,50.5,31.6,35.9,28.5,28
Duquesne,30,11_7,21_9,107,98.9,18.5,20.2,53.8,49.7,31.8,30.1,32.8,29.2
Kansas St.,32,3_15,11_21,102.3,94.7,21.3,24.3,47.9,49.6,31.3,33,34.7,38.8
Northern Colorado,29,15_5,22_9,109.3,101.1,15.4,16.8,53.6,50.2,37.4,28.5,25.3,24.9
UNC Greensboro,30,13_5,23_9,103.2,95.6,16.5,24.9,49.5,48,32.1,35.6,25,36.8
Loyola Chicago,31,13_5,21_11,103.8,96.3,19.4,23.6,55.3,49.8,36,36.9,38.9,23.5
DePaul,31,3_15,16_16,102.6,95.3,20.4,22.2,48.4,47.9,31.1,33.4,33.3,35.4
UNLV,32,12_6,17_15,107.5,100.1,19.3,17.4,50.9,48.5,31.9,33.5,34.1,40.6
Boise St.,31,11_7,20_12,105.9,98.6,17.8,19.2,51.6,54.9,33.6,30.1,36,29.8
Belmont,32,15_3,26_7,106.9,99.5,16,19.5,56.8,46.7,34.8,33.2,22.9,24.3
Missouri,31,7_11,15_16,103.5,96.4,20.8,20.8,48.7,48.2,29.7,28.8,35.7,47.8
