Name_LowerRank,GamesPlayed_LowerRank,ConfRecord_LowerRank,TotalRecord_LowerRank,OffEff_LowerRank,DefEff_LowerRank,Turnovers_LowerRank,ForcedTurnovers_LowerRank,2PFGOff_LowerRank,2PFGDef_LowerRank,3PFGOff_LowerRank,3PFGDef_LowerRank,FTOff_LowerRank,FTDef_LowerRank,Rank_LowerRank,Name_HigherRank,GamesPlayed_HigherRank,ConfRecord_HigherRank,TotalRecord_HigherRank,OffEff_HigherRank,DefEff_HigherRank,Turnovers_HigherRank,ForcedTurnovers_HigherRank,2PFGOff_HigherRank,2PFGDef_HigherRank,3PFGOff_HigherRank,3PFGDef_HigherRank,FTOff_HigherRank,FTDef_HigherRank,Rank_HigherRank,Results_HigherRank,Differntial,Score,PlusMinus_HigherRank
Auburn,32,7_11,18_14,112.4,102.5,17.9,19.9,48.5,48.7,36.6,35.7,42.5,38.8,78,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,19, 80_61 ,16.4
Alabama,34,10_8,19_15,104.4,91.8,20.4,19.8,48.7,44.2,31.7,33.3,39.1,39.9,54,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-3, 59_56 ,0.7
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46.0,46.2,32.4,35.5,42.9,43.3,55,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-12, 87_75 ,-3.9
Georgia,33,9_9,19_15,107.9,95.9,18.6,16.7,48.3,45.4,31.8,33.6,40.7,34.2,63,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-8, 76_68 ,-7.4
Arkansas,36,12_6,26_10,114.9,99.8,16.6,18.5,50.0,46.7,36.5,33.2,38.1,39.1,48,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-1, 71_70 ,4.1
Texas A&M,31,8_10,16_15,108.3,95.6,21.2,17.4,52.1,43.7,32.9,35.2,33.3,28.1,56,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,14, 68_54 ,12.6
Mississippi,36,10_8,22_14,110.3,100.3,19.3,18.8,46.8,46.7,34.7,36.3,42.8,35.6,76,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-7, 81_74 ,-0.1
Arkansas,36,12_6,26_10,114.9,99.8,16.6,18.5,50.0,46.7,36.5,33.2,38.1,39.1,48,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,13, 72_59 ,17.0
Missouri,32,2_16,8_24,101.3,100.0,16.9,19.2,45.0,48.3,30.4,34.4,38.7,42.6,145,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-20, 72_52 ,-3.5
Texas A&M,31,8_10,16_15,108.3,95.6,21.2,17.4,52.1,43.7,32.9,35.2,33.3,28.1,56,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,5, 72_67 ,-0.5
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46.0,46.2,32.4,35.5,42.9,43.3,55,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,11, 67_56 ,7.8
Mississippi St.,32,6_12,16_16,104.1,98.3,19.0,19.7,50.4,48.6,34.7,31.5,33.9,37.9,102,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,29, 77_48 ,11.5
Texas A&M,31,8_10,16_15,108.3,95.6,21.2,17.4,52.1,43.7,32.9,35.2,33.3,28.1,56,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,W,25, 66_41 ,5.6
Arkansas,36,12_6,26_10,114.9,99.8,16.6,18.5,50.0,46.7,36.5,33.2,38.1,39.1,48,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-14, 76_62 ,-7.1
Northwestern,36,10_8,24_12,111.2,95.2,16.0,17.9,48.8,44.0,34.2,33.3,30.5,36.1,39,Vanderbilt,35,10_8,19_16,112.5,93.8,18.2,16.1,48.1,46.8,37.6,33.8,34.8,30.7,29,L,-2, 68_66 ,-5.1
Howard,32,5_11,10_24,90.0,109.1,21.5,18.2,43.3,47.2,29.0,36.0,43.4,35.8,340,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,32, 81_49 ,9.8
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-3, 78_75 ,2.7
IUPUI,30,7_9,14_18,105.4,109.1,16.8,19.0,48.5,54.1,37.8,36.6,33.2,43.3,207,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,25, 104_79 ,13.9
Houston Baptist,27,12_6,17_14,103.9,110.7,19.3,18.5,48.6,52.6,33.5,36.2,37.8,38.7,235,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,22, 101_79 ,16.5
Western Carolina,30,4_14,9_23,89.2,103.6,23.2,19.1,41.9,52.1,30.4,36.0,27.7,46.6,324,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,46, 90_44 ,25.1
Georgia,33,9_9,19_15,107.9,95.9,18.6,16.7,48.3,45.4,31.8,33.6,40.7,34.2,63,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,10, 89_79 ,6.5
Fresno St.,31,11_7,20_13,103.5,96.8,18.8,20.6,49.5,47.2,35.6,33.6,40.5,46.2,91,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,3, 84_81 ,10.8
St. Francis PA,33,11_7,17_17,101.5,109.1,20.7,18.7,50.4,47.3,38.1,36.9,29.6,23.9,250,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,13, 78_65 ,9.3
SIU Edwardsville,28,1_15,6_24,94.6,108.7,20.3,18.3,45.5,54.0,29.2,33.2,45.7,44.9,315,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,33, 89_56 ,8.8
Georgetown,32,5_13,14_18,107.5,96.4,20.1,17.3,51.8,46.8,34.9,32.4,42.6,38.8,69,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,10, 76_66 ,8.4
Seton Hall,33,10_8,21_12,108.9,95.6,19.5,17.5,49.6,48.0,33.8,34.1,37.6,36.1,52,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-3, 69_66 ,-0.4
Seton Hall,33,10_8,21_12,108.9,95.6,19.5,17.5,49.6,48.0,33.8,34.1,37.6,36.1,52,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,3, 89_86 OT,3.0
DePaul,32,2_16,9_23,102.9,103.1,20.4,20.0,47.7,53.6,32.6,36.1,35.6,40.2,170,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,25, 83_58 ,10.1
Providence,33,10_8,20_13,108.3,94.5,18.4,20.3,49.1,49.9,37.1,32.8,38.1,30.5,51,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-1, 79_78 ,-2.8
St. John's,33,7_11,14_19,108.5,102.2,17.7,20.5,47.5,50.5,36.4,37.4,36.2,39.3,100,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-14, 86_72 ,-4.7
DePaul,32,2_16,9_23,102.9,103.1,20.4,20.0,47.7,53.6,32.6,36.1,35.6,40.2,170,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,13, 92_79 ,5.8
Georgetown,32,5_13,14_18,107.5,96.4,20.1,17.3,51.8,46.8,34.9,32.4,42.6,38.8,69,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-18, 80_62 ,-8.9
Xavier,38,9_9,24_14,115.6,97.9,18.4,17.5,52.0,52.5,34.5,33.4,41.1,33.4,35,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,22, 83_61 ,15.1
St. John's,33,7_11,14_19,108.5,102.2,17.7,20.5,47.5,50.5,36.4,37.4,36.2,39.3,100,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,22, 93_71 ,10.8
Providence,33,10_8,20_13,108.3,94.5,18.4,20.3,49.1,49.9,37.1,32.8,38.1,30.5,51,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-4, 73_69 ,3.0
Xavier,38,9_9,24_14,115.6,97.9,18.4,17.5,52.0,52.5,34.5,33.4,41.1,33.4,35,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,W,11, 95_84 ,9.3
Seton Hall,33,10_8,21_12,108.9,95.6,19.5,17.5,49.6,48.0,33.8,34.1,37.6,36.1,52,Marquette,32,10_8,19_13,121.8,101.8,17.3,18.3,52.7,50.6,42.9,36.8,31.0,35.7,30,L,-6, 82_76 ,-1.6
Radford,30,8_10,14_18,95.0,107.6,22.4,15.1,44.6,49.9,34.6,35.9,29.5,30.0,308,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,21, 80_59 ,9.9
Bucknell,35,15_3,26_9,108.3,99.1,18.9,19.7,54.3,46.5,37.9,34.2,37.2,33.1,79,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,20, 94_74 ,11.8
UTEP,31,12_6,15_17,100.1,102.2,19.0,17.5,51.9,48.5,34.3,34.0,36.3,39.1,194,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,22, 103_81 ,14.5
College of Charleston,34,14_4,25_10,104.6,99.5,15.9,18.6,49.1,48.9,33.2,31.1,42.7,31.9,107,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,17, 78_61 ,8.3
Coastal Carolina,37,10_8,20_19,100.4,104.9,18.1,16.6,48.0,49.7,32.7,33.9,29.2,32.6,217,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,12, 86_74 ,12.0
Northwestern,36,10_8,24_12,111.2,95.2,16.0,17.9,48.8,44.0,34.2,33.3,30.5,36.1,39,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-7, 65_58 ,0.7
Richmond,35,13_5,22_13,110.0,102.5,16.2,20.0,55.6,50.9,34.2,32.1,31.6,34.6,87,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,8, 75_67 ,5.4
Charlotte,29,7_11,13_17,101.6,107.5,16.1,18.3,47.5,51.7,37.5,35.8,34.0,35.6,227,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,17, 91_74 ,15.2
UNC Greensboro,32,14_4,25_10,106.5,103.9,19.9,19.4,50.4,47.6,37.0,36.4,30.1,34.8,132,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,3, 78_75 ,5.9
Xavier,38,9_9,24_14,115.6,97.9,18.4,17.5,52.0,52.5,34.5,33.4,41.1,33.4,35,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-4, 69_65 ,-1.7
LSU,31,2_16,10_21,108.3,109.4,19.8,16.9,50.2,52.9,33.6,38.2,31.5,36.9,179,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,34, 110_76 ,10.0
Clemson,33,6_12,17_16,115.3,98.9,15.8,20.1,49.8,51.0,35.7,35.6,34.3,24.1,40,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-5, 73_68 ,4.3
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,13, 79_66 ,2.3
Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,17, 96_79 ,12.7
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,5, 93_88 ,2.4
Syracuse,34,10_8,19_15,116.2,100.6,18.0,19.7,51.3,49.6,37.9,34.3,35.1,29.2,45,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-5, 81_76 ,0.8
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,5, 85_80 ,1.9
Georgia Tech,36,8_10,21_16,99.4,90.6,19.3,18.8,46.9,43.9,32.5,33.1,35.8,27.4,77,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,12, 81_69 ,6.2
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,30, 88_58 ,14.2
Clemson,33,6_12,17_16,115.3,98.9,15.8,20.1,49.8,51.0,35.7,35.6,34.3,24.1,40,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-12, 95_83 ,-9.0
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,4, 63_59 ,-7.5
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49.0,40.3,36.3,40.9,27.3,44,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,5, 89_84 ,-3.6
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,W,14, 92_78 ,7.3
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49.0,40.3,36.3,40.9,27.3,44,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-9, 99_90 ,0.9
Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,Wake Forest,33,9_9,19_14,122.4,102.6,16.4,16.2,52.1,52.1,38.5,35.8,40.7,38.0,31,L,-7, 95_88 ,-3.8
Western Illinois,26,5_11,8_20,96.7,107.9,18.4,13.8,45.1,46.2,38.7,41.5,29.0,40.7,293,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,27, 82_55 ,9.5
Nebraska Omaha,31,9_7,18_14,106.8,108.0,18.3,19.3,49.0,53.0,38.4,37.0,40.6,33.7,181,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,13, 81_68 ,9.8
Hampton,29,11_5,14_17,92.0,106.6,19.6,19.9,45.0,47.5,32.2,35.6,33.4,42.7,323,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,22, 89_67 ,9.0
Robert Morris,33,9_9,14_19,91.5,99.0,21.5,23.7,43.8,50.0,31.9,29.8,41.3,42.5,260,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,21, 61_40 ,14.1
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,18, 72_54 ,6.9
Maryland,32,12_6,24_9,113.4,97.9,19.0,18.0,51.0,45.6,36.3,34.2,38.5,32.6,42,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,L,-1, 69_68 ,-2.3
Green Bay,30,12_6,18_14,100.8,102.8,18.0,18.6,48.7,48.7,31.6,36.3,37.7,33.1,191,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,19, 80_61 ,11.6
Saint Louis,33,6_12,12_21,95.5,103.2,20.3,16.9,44.3,48.9,34.2,35.6,34.4,38.5,259,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,31, 84_53 ,13.2
Prairie View A&M,31,10_8,13_20,96.9,111.2,18.8,21.7,46.4,52.2,34.9,36.2,35.4,49.5,314,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,19, 74_55 ,8.0
Washington St.,30,6_12,13_18,103.8,104.1,18.1,14.7,50.6,52.6,36.6,35.4,27.2,27.9,171,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,14, 70_56 ,2.7
Colorado St.,34,13_5,24_12,108.3,100.2,16.1,16.9,46.6,46.6,34.1,31.4,38.2,31.8,84,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,19, 89_70 ,6.0
Gardner Webb,30,11_7,19_14,101.5,102.4,20.4,20.4,50.3,46.8,37.6,35.5,44.7,40.8,175,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,13, 67_54 ,8.4
Texas,33,4_14,11_22,103.5,93.6,19.6,18.3,51.3,47.7,29.2,32.5,34.5,30.0,71,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,3, 65_62 ,4.4
Oklahoma,31,5_13,11_20,107.0,94.5,19.0,18.5,45.7,47.1,34.3,36.5,36.7,33.5,57,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,11, 75_64 ,10.0
Texas Tech,32,6_12,18_14,111.3,96.7,16.5,20.3,51.9,48.9,36.7,35.5,35.6,35.6,46,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,L,-1, 66_65 ,0.5
Tennessee,31,8_10,16_16,109.3,96.3,17.4,19.3,46.0,46.2,32.4,35.5,42.9,43.3,55,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,L,-12, 70_58 ,-10.9
TCU,38,6_12,24_15,114.0,97.1,18.8,18.7,52.2,48.3,35.7,36.3,32.2,30.9,38,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,L,-6, 86_80 OT,-1.4
Texas,33,4_14,11_22,103.5,93.6,19.6,18.3,51.3,47.7,29.2,32.5,34.5,30.0,71,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,3, 64_61 ,3.7
Oklahoma,31,5_13,11_20,107.0,94.5,19.0,18.5,45.7,47.1,34.3,36.5,36.7,33.5,57,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,L,-30, 81_51 ,-10.6
TCU,38,6_12,24_15,114.0,97.1,18.8,18.7,52.2,48.3,35.7,36.3,32.2,30.9,38,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,1, 75_74 ,4.5
Texas Tech,32,6_12,18_14,111.3,96.7,16.5,20.3,51.9,48.9,36.7,35.5,35.6,35.6,46,Kansas St.,35,8_10,21_14,112.2,94.2,19.1,22.1,51.8,45.5,36.2,38.2,41.1,33.4,32,W,13, 61_48 ,9.1
Western Carolina,30,4_14,9_23,89.2,103.6,23.2,19.1,41.9,52.1,30.4,36.0,27.7,46.6,324,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,49, 92_43 ,18.9
North Florida,30,8_6,15_19,100.7,108.6,22.2,16.7,50.7,51.6,34.7,36.6,34.9,35.0,252,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,38, 94_56 ,19.3
Penn,28,6_8,13_15,102.0,101.6,18.9,20.1,52.2,45.3,33.9,36.0,26.0,33.6,159,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,12, 74_62 ,6.8
Stanford,30,6_12,14_17,104.0,98.1,18.6,20.6,48.2,49.1,32.3,38.8,37.3,38.2,101,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,14, 67_53 ,-1.2
Rutgers,32,3_15,15_18,100.8,98.2,19.7,18.9,44.5,46.6,30.2,32.7,31.2,31.2,131,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,12, 73_61 ,10.7
Wofford,30,10_8,16_17,108.8,107.4,17.5,18.0,49.4,54.6,38.4,34.2,31.9,38.3,146,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,17, 74_57 ,9.9
South Carolina St.,29,7_9,11_20,98.0,118.7,18.0,17.6,47.1,55.7,32.0,34.4,30.4,39.1,338,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,36, 82_46 ,21.7
Florida Atlantic,28,6_12,10_20,97.7,107.5,16.6,17.7,45.5,49.2,31.4,37.0,30.4,35.9,279,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,20, 76_56 ,11.8
George Washington,35,10_8,20_15,107.1,103.8,19.3,16.2,45.6,48.9,37.1,35.4,36.6,26.9,125,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,8, 72_64 ,6.7
Columbia,26,5_9,11_16,100.0,105.8,18.4,20.2,47.1,50.4,36.1,36.1,29.1,34.8,228,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,11, 78_67 ,7.6
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,18, 81_63 ,8.0
Syracuse,34,10_8,19_15,116.2,100.6,18.0,19.7,51.3,49.6,37.9,34.3,35.1,29.2,45,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,L,-15, 70_55 ,-5.0
Pittsburgh,33,4_14,16_17,112.7,101.2,17.6,14.3,49.6,50.2,36.1,35.6,39.4,26.6,70,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,26, 72_46 ,10.0
Boston College,32,2_16,9_23,104.1,101.9,20.1,17.2,49.1,53.2,37.4,35.4,29.6,39.6,138,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,1, 78_77 ,8.3
North Carolina St.,32,4_14,15_17,111.9,105.2,18.5,15.6,52.4,49.5,35.6,36.9,36.2,30.4,97,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,5, 84_79 ,-2.3
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49.0,40.3,36.3,40.9,27.3,44,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,6, 74_68 ,4.1
Georgia Tech,36,8_10,21_16,99.4,90.6,19.3,18.8,46.9,43.9,32.5,33.1,35.8,27.4,77,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,9, 70_61 ,3.6
Clemson,33,6_12,17_16,115.3,98.9,15.8,20.1,49.8,51.0,35.7,35.6,34.3,24.1,40,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,W,6, 71_65 ,2.7
Virginia Tech,33,10_8,22_11,118.4,102.5,17.2,16.5,54.6,49.0,40.3,36.3,40.9,27.3,44,Miami FL,33,10_8,21_12,110.8,93.1,19.5,18.3,49.8,46.6,35.6,33.0,34.3,28.7,33,L,-5, 66_61 ,-2.5
